sock_write_iter,sockfd_lookup_light,sock_read_iter,sock_recvmsg,sock_write_iter_count,sockfd_lookup_light_count,sock_read_iter_count,sock_recvmsg_count,class
6,51,4,48,1,1,1,1,1
7,42,4,30,1,1,1,1,1
6,38,4,29,1,1,1,1,1
0,23,0,0,0,1,0,0,1
0,23,0,0,0,1,0,0,1
0,23,0,0,0,1,0,0,1
0,23,0,0,0,1,0,0,1
0,23,0,0,0,1,0,0,1
0,23,0,0,0,1,0,0,1
0,23,0,0,0,1,0,0,1
0,23,0,0,0,1,0,0,1
0,23,0,0,0,1,0,0,1
0,23,0,0,0,1,0,0,1
6,48,4,29,1,1,1,1,1
12,41,4,31,1,1,1,1,1
6,38,4,32,1,1,1,1,1
6,38,4,29,1,1,1,1,1
5,38,4,30,1,1,1,1,1
6,39,4,31,1,1,1,1,1
0,21,0,0,0,1,0,0,1
0,19,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,19,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,19,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,19,0,0,0,1,0,0,1
7,42,4,29,1,1,1,1,1
6,63,4,29,1,1,1,1,1
6,39,4,49,1,1,1,1,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
6,46,3,30,1,1,1,1,1
6,42,4,29,1,1,1,1,1
5,39,4,30,1,1,1,1,1
0,21,0,0,0,1,0,0,1
0,22,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,22,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,22,0,0,0,1,0,0,1
6,42,4,30,1,1,1,1,1
14,41,4,29,1,1,1,1,1
5,39,4,29,1,1,1,1,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
6,41,4,29,1,1,1,1,1
6,40,4,29,1,1,1,1,1
0,22,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,22,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,22,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
6,45,4,28,1,1,1,1,1
6,42,4,29,1,1,1,1,1
6,38,4,29,1,1,1,1,1
6,39,4,29,1,1,1,1,1
6,38,4,30,1,1,1,1,1
6,38,4,29,1,1,1,1,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,21,0,0,0,1,0,0,1
6,45,4,30,1,1,1,1,1
7,42,4,36,1,1,1,1,1
6,38,4,30,1,1,1,1,1
0,19,0,0,0,1,0,0,1
0,30,0,0,0,1,0,0,1
0,19,0,0,0,1,0,0,1
0,30,0,0,0,1,0,0,1
0,19,0,0,0,1,0,0,1
0,30,0,0,0,1,0,0,1
0,19,0,0,0,1,0,0,1
0,30,0,0,0,1,0,0,1
6,44,4,29,1,1,1,1,1
6,42,4,31,1,1,1,1,1
6,37,4,29,1,1,1,1,1
0,20,0,0,0,1,0,0,1
0,19,0,0,0,1,0,0,1
0,20,0,0,0,1,0,0,1
0,19,0,0,0,1,0,0,1
6,60,4,29,1,1,1,1,1
0,0,0,0,0,0,0,0,1
6,56,4,28,1,1,1,1,1
0,20,0,0,0,1,0,0,1
6,53,4,29,1,1,1,1,1
6,49,4,28,1,1,1,1,1
5,51,3,30,1,1,1,1,1
11,55,4,29,1,1,1,1,1
6,51,5,74,1,1,1,1,1
6,51,4,29,1,1,1,1,1
5,47,3,27,1,1,1,1,1
6,52,4,28,1,1,1,1,1
6,51,4,28,1,1,1,1,1
6,54,4,29,1,1,1,1,1
5,50,3,30,1,1,1,1,1
5,48,4,26,1,1,1,1,1
6,50,4,29,1,1,1,1,1
6,50,4,29,1,1,1,1,1
6,52,3,27,1,1,1,1,1
6,51,4,30,1,1,1,1,1
6,51,4,26,1,1,1,1,1
6,50,4,30,1,1,1,1,1
6,52,4,30,1,1,1,1,1
5,52,4,29,1,1,1,1,1
11,53,4,29,1,1,1,1,1
11,54,4,29,1,1,1,1,1
6,52,4,30,1,1,1,1,1
6,50,4,29,1,1,1,1,1
6,72,4,28,1,1,1,1,1
5,52,4,29,1,1,1,1,1
5,48,4,25,1,1,1,1,1
6,51,4,28,1,1,1,1,1
6,53,4,28,1,1,1,1,1
6,50,4,29,1,1,1,1,1
10,53,4,30,1,1,1,1,1
6,52,4,30,1,1,1,1,1
6,50,4,29,1,1,1,1,1
6,50,4,29,1,1,1,1,1
21,53,3,29,1,1,1,1,1
6,53,4,29,1,1,1,1,1
6,50,4,28,1,1,1,1,1
6,51,4,30,1,1,1,1,1
6,52,3,27,1,1,1,1,1
6,50,4,26,1,1,1,1,1
10,50,4,26,1,1,1,1,1
6,48,3,27,1,1,1,1,1
6,50,3,30,1,1,1,1,1
6,47,4,26,1,1,1,1,1
6,50,4,27,1,1,1,1,1
6,53,4,29,1,1,1,1,1
6,49,4,26,1,1,1,1,1
6,50,4,29,1,1,1,1,1
6,51,4,28,1,1,1,1,1
6,49,4,36,1,1,1,1,1
6,51,4,29,1,1,1,1,1
4,40,3,35,1,1,1,1,1
6,52,4,27,1,1,1,1,1
5,51,4,29,1,1,1,1,1
5,51,4,29,1,1,1,1,1
6,50,5,28,1,1,1,1,1
6,52,4,27,1,1,1,1,1
6,50,4,28,1,1,1,1,1
6,52,4,30,1,1,1,1,1
7,50,4,29,1,1,1,1,1
6,52,4,30,1,1,1,1,1
6,50,3,30,1,1,1,1,1
6,50,4,29,1,1,1,1,1
11,55,3,37,1,1,1,1,1
6,36,4,50,1,1,1,1,1
5,50,4,30,1,1,1,1,1
6,50,4,29,1,1,1,1,1
6,51,4,28,1,1,1,1,1
6,50,4,28,1,1,1,1,1
7,50,3,30,1,1,1,1,1
6,56,4,29,1,1,1,1,1
5,50,5,29,1,1,1,1,1
6,52,4,28,1,1,1,1,1
6,50,4,29,1,1,1,1,1
6,52,4,47,1,1,1,1,1
5,50,3,27,1,1,1,1,1
6,71,4,28,1,1,1,1,1
6,51,4,29,1,1,1,1,1
6,51,4,29,1,1,1,1,1
6,49,4,29,1,1,1,1,1
6,51,3,29,1,1,1,1,1
6,50,4,29,1,1,1,1,1
5,49,4,27,1,1,1,1,1
7,50,4,29,1,1,1,1,1
6,49,4,29,1,1,1,1,1
5,72,3,27,1,1,1,1,1
6,50,4,29,1,1,1,1,1
