sock_write_iter,sockfd_lookup_light,sock_alloc_inode,sock_alloc,sock_alloc_file,move_addr_to_user,SYSC_getsockname,SyS_getsockname,SYSC_accept4,sock_destroy_inode,sock_read_iter,sock_recvmsg,__sock_release,SyS_accept4,SyS_shutdown,sock_close,sock_write_iter_count,sockfd_lookup_light_count,sock_alloc_inode_count,sock_alloc_count,sock_alloc_file_count,move_addr_to_user_count,SYSC_getsockname_count,SyS_getsockname_count,SYSC_accept4_count,sock_destroy_inode_count,sock_read_iter_count,sock_recvmsg_count,__sock_release_count,SyS_accept4_count,SyS_shutdown_count,sock_close_count,class
 6,51,0,0,0,0,0,4,0,0,4,48,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 7,42,0,0,0,0,0,4,0,0,4,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,38,0,0,0,0,0,4,0,0,4,29,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 0,23,7,5,8,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
 0,23,7,5,8,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
 0,23,7,5,8,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
 0,23,7,5,8,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
 0,23,7,5,8,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
 0,23,7,5,8,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
 0,23,7,5,8,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
 0,23,7,5,8,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
 0,23,7,5,8,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
 0,23,7,5,8,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
 6,48,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 12,41,0,0,0,0,0,4,0,0,4,31,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,38,0,0,0,0,0,3,0,0,4,32,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,38,0,0,0,0,0,4,0,0,4,29,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,38,0,0,0,0,0,3,0,0,4,30,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,39,0,0,0,0,0,3,0,0,4,31,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 0,21,6,5,8,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
